Time (s),Set Temperature (°C),Current Temperature (°C), Proportional, Integral, Derivative, Output Current (A)
213.33096194267273,60.0,61.141677569788435,-2.2833551395768694,48.282765153071075,0.0,459.9941001349421
214.3551013469696,60.0,61.17587172213775,-2.351743444275499,48.1651779808573,-0.004445239805410921,458.0898929677639
215.35292792320251,60.0,61.10748376933379,-2.2149675386675796,48.05442960392392,0.008890433864514762,458.4835249912086
216.34750056266785,60.0,61.10748376933379,-2.2149675386675796,47.94368122699055,0.0,457.28713688322966
217.4803602695465,60.0,61.07329032076216,-2.1465806415243236,47.836352194914326,0.004445148314311638,456.9421670170431
218.47797012329102,60.0,61.0390972240638,-2.0781944481276042,47.73244247250795,0.004445102570786758,456.5869312695113
219.47132229804993,60.0,61.0390972240638,-2.0781944481276042,47.62853275010156,0.0,455.5033830197396
220.47126841545105,60.0,61.0390972240638,-2.0781944481276042,47.524623027695185,0.0,454.4642857956758
221.46897196769714,60.0,61.00490447922669,-2.0098089584533767,47.42413257977251,0.004445056828824789,454.18768678147956
222.51921439170837,60.0,60.97071208624069,-1.9414241724813763,47.327061371148446,0.0044450110881800245,453.90082209755246
223.51681804656982,60.0,60.97071208624069,-1.9414241724813763,47.22999016252438,0.0,452.88565990043
224.505051612854,60.0,60.936520045094525,-1.8730400901890505,47.13633815801492,0.00444496534900118,452.6774303317487
225.50968670845032,70.0,60.936520045094525,18.12695990981095,48.04268615350547,1.3,674.6964606331642
227.21138501167297,70.0,61.0390972240638,17.921805551872396,48.938776431099086,-0.013335033266005995,668.4724694970548
228.9463756084442,70.0,61.31265185069492,17.37469629861016,49.8075112460296,-0.035562101462045276,671.4664544317772
230.64908528327942,70.0,61.65462681001692,16.690746379966157,50.642048565027906,-0.04445674471186024,672.8833820028219
232.46794152259827,70.0,62.030839928316716,15.938320143366568,51.438964572196234,-0.04890770537897332,673.2837701018383
234.17614150047302,70.0,62.3728888322481,15.254222335503798,52.20167568897142,-0.04446635751108005,674.1143166696413
235.8765091896057,70.0,62.74918331600467,14.501633367990664,52.92675735737096,-0.048918282888353704,673.7947244247327
237.57435059547424,70.0,63.09130621253382,13.817387574932354,53.61762673611758,-0.04447597654879012,673.9053833450114
239.36976742744446,70.0,63.467682114561605,13.06463577087679,54.27085852466141,-0.048928867263611626,672.8656542827459
241.07379174232483,70.0,63.80987905172722,12.380241896545556,54.8898706194887,-0.044485601831530275,672.2562691420273
242.78469800949097,70.0,64.15211126323872,11.695777473522554,55.47465949316483,-0.04449018749649511,671.259467791909
244.5211853981018,70.0,64.52860745079259,10.942785098414817,56.021798748085565,-0.04894450438200295,669.1563934211837
246.22417187690735,70.0,64.87091377395082,10.258172452098364,56.534707370690484,-0.04449982201056941,667.4838000077829
247.92947053909302,70.0,65.1790196529819,9.641960694036186,57.01680540539229,-0.04005376427404159,666.1871233515444
249.6775393486023,70.0,65.52139307103957,8.957213857920863,57.46466609828833,-0.044508544347496015,663.773714118617
